index,metric/task_commoncrawl_val_loss,metric/task_sciq_val_loss,metric/task_piqa_val_loss,metric/task_arc_easy_val_loss,metric/task_arc_challenge_val_loss,metric/task_logiqa_val_loss,metric/task_hellaswag_val_loss,metric/task_gsm8k_val_loss,metric/task_kodcode_val_loss,metric/task_mathqa_val_loss,metric/task_medqa_val_loss
1,5.762697219848633,5.97331428527832,5.7320990562438965,6.030153751373291,5.919473648071289,5.4274582862854,5.476266860961914,6.1342363357543945,3.309849739074707,6.439731121063232,5.826574802398682
2,5.314170837402344,5.50602912902832,5.347431659698486,5.683703899383545,5.573859691619873,5.066039085388184,5.213333606719971,5.84950590133667,3.987117290496826,6.202671527862549,5.208627223968506
3,5.622281551361084,5.766811370849609,5.556244850158691,5.865001678466797,5.755279541015625,5.294123649597168,5.355449199676514,6.02245569229126,3.559933662414551,6.335530757904053,5.659749031066895
4,5.2516961097717285,5.527617454528809,5.8975090980529785,5.69329309463501,5.589772701263428,5.1373467445373535,5.508603572845459,5.8961992263793945,4.590811252593994,6.320046424865723,5.231141090393066
5,5.404463768005371,5.64757776260376,5.625389099121094,5.756955623626709,5.65561580657959,5.202996253967285,5.3661041259765625,5.878113746643066,3.655952692031861,6.280961990356445,5.435903072357178
6,5.42776346206665,5.508225440979004,5.271583080291748,5.683831691741943,5.568486213684082,5.048562049865723,5.134421348571777,5.868281841278076,4.253464698791504,6.141366958618164,5.260981559753418
7,5.535313129425049,5.740259647369385,5.631906509399414,5.873922824859619,5.761050701141357,5.264837741851807,5.397722244262695,6.118489265441895,3.6956725120544434,6.352713108062744,5.584196090698242
8,5.490418434143066,5.76641321182251,6.194807052612305,5.859577655792236,5.790899753570557,5.334015846252441,5.652249813079834,6.188050270080566,3.46925687789917,6.356818199157715,5.556719303131104
9,5.982777118682861,6.32273530960083,6.611077308654785,6.401422023773193,6.281833171844482,5.721309185028076,5.928138256072998,6.426567077636719,3.288137674331665,6.646463394165039,6.197962284088135
10,5.386147975921631,5.557231903076172,5.376763820648193,5.7000250816345215,5.600325584411621,5.114116191864014,5.202973365783691,5.824748516082764,3.927124500274658,6.149755954742432,5.3302836418151855
